Circle,Region,Division,Office Name,Pincode,Office Type,Delivery Status,District,State,Latitude,Longitude
Telangana Circle,Hyderabad Region,Adilabad Division,Kothimir B.O,504273,BO,Delivery,KUMURAM BHEEM ASIFABAD,TELANGANA,19.3638689,79.5376658
Telangana Circle,Hyderabad Region,Adilabad Division,Papanpet B.O,504299,BO,Delivery,KUMURAM BHEEM ASIFABAD,TELANGANA,19.4764899,79.583923
Telangana Circle,Hyderabad Region,Adilabad Division,Bareguda B.O,504296,BO,Delivery,KUMURAM BHEEM ASIFABAD,TELANGANA,19.3285752,79.4760132
Telangana Circle,Hyderabad Region,Adilabad Division,Mosam B.O,504296,BO,Delivery,KUMURAM BHEEM ASIFABAD,TELANGANA,19.3778044,79.6165209
Telangana Circle,Hyderabad Region,Adilabad Division,Penchikalpet B.O,504296,BO,Delivery,KUMURAM BHEEM ASIFABAD,TELANGANA,19.240236,79.8205696
Telangana Circle,Hyderabad Region,Adilabad Division,Vempalli B.O,504209,BO,Delivery,MANCHERIAL,TELANGANA,18.8730283,79.4118699
Telangana Circle,Hyderabad Region,Adilabad Division,Old Town B.O,504296,BO,Non Delivery,KUMURAM BHEEM ASIFABAD,TELANGANA,19.345435,79.4782916
Telangana Circle,Hyderabad Region,Adilabad Division,Chakepalli B.O,504272,BO,Delivery,MANCHERIAL,TELANGANA,19.182086,79.4816378
Telangana Circle,Hyderabad Region,Adilabad Division,Repallewada B.O,504272,BO,Delivery,MANCHERIAL,TELANGANA,19.1760637,79.4281914
Telangana Circle,Hyderabad Region,Adilabad Division,Ginnedhari B.O,504297,BO,Delivery,KUMURAM BHEEM ASIFABAD,TELANGANA,19.1973141,79.2394761
Telangana Circle,Hyderabad Region,Adilabad Division,Malini,504295,BO,Delivery,KUMURAM BHEEM ASIFABAD,TELANGANA,19.458073,79.400529
Telangana Circle,Hyderabad Region,Hanamkonda Division,Yellapur B.O,506371,BO,Delivery,HANUMAKONDA,TELANGANA,18.0814575,79.4986557
Telangana Circle,Hyderabad Region,Hanamkonda Division,Madipalli B.O,506371,BO,Delivery,HANUMAKONDA,TELANGANA,18.0721411,79.5205913
Telangana Circle,Hyderabad Region,Karimnagar Division,Yellapur B.O,505415,BO,Delivery,Jagitial,TELANGANA,18.684847,79.110961
Telangana Circle,Hyderabad Region,Karimnagar Division,Mucherla B.O,505304,BO,Delivery,RAJANNA SIRCILLA,TELANGANA,18.268181,78.622141
Telangana Circle,Hyderabad Region,Karimnagar Division,Pegadapalli B.O,505532,BO,Delivery,Jagitial,TELANGANA,18.698599,79.074032
Telangana Circle,Hyderabad Region,Hanamkonda Division,Kondaparthy B.O,506003,BO,Delivery,HANUMAKONDA,TELANGANA,17.922479,79.5384425
Telangana Circle,Hyderabad Region,Hanamkonda Division,Abdulnagaram B.O,506145,BO,Delivery,JANGOAN,TELANGANA,17.9319733,79.23069
Telangana Circle,Hyderabad Region,Hanamkonda Division,Rajavaram B.O,506144,BO,Delivery,JANGOAN,TELANGANA,17.8877326,79.3885943
Telangana Circle,Hyderabad Region,Hanamkonda Division,Chinnapendyal B.O,506144,BO,Delivery,JANGOAN,TELANGANA,17.8937252,79.4178912
Telangana Circle,Hyderabad Region,Hanamkonda Division,China Raman Cherla B.O,506221,BO,Delivery,JANGOAN,TELANGANA,17.76814,79.0459949
Telangana Circle,Hyderabad Region,Hanamkonda Division,Tatikonda B.O,506301,BO,Delivery,JANGOAN,TELANGANA,17.8133662,79.3340276
Telangana Circle,Hyderabad Region,Hanamkonda Division,Chinchinkota B.O,506223,BO,Delivery,SIDDIPET,TELANGANA,17.874619,78.9639012
Telangana Circle,Hyderabad Region,Hanamkonda Division,Kadaverugu B.O,506223,BO,Delivery,SIDDIPET,TELANGANA,17.9072799,78.9388837
